"id","collection_folder_id","user_id","collection_name","is_private","is_public","is_shared","is_group","is_analysis","created_at","shared_by","active_shared","folder_size","upload_token"
"342c4674-f101-4f75-b1ab-09c1f4aaea55","dd86e64c-40ac-478e-835d-4c72c9301493","7aa77b88-afc6-11ee-b485-9616de9ca6c5","tadam","1","0","0","0",NULL,"2024-01-25 12:59:17",NULL,NULL,NULL,NULL
"34c81015-8e52-4e8b-b143-1c79435f6dab","35149529-2389-4e91-af0e-2e993958c7b0","850e90c6-cf06-41e5-92ac-f7ef32f3d67e","Analyse de style","1","0","0","0","0","2024-07-19 10:08:45",NULL,"0","0",NULL
"355b2dfa-9f73-4c06-8749-c47778e8ad06","6980b5f5-822f-4c8b-baec-18c84849cc46","850e90c6-cf06-41e5-92ac-f7ef32f3d67e","Pricing mA","1","0","0","0","0","2024-06-18 16:35:01",NULL,"0",NULL,NULL
"3700881d-28f4-42ce-bfd3-ad44b14801fc","51b42506-1d20-4cce-aaf6-0dc39191d18c","850e90c6-cf06-41e5-92ac-f7ef32f3d67e","axa","1","0","0","0","0","2024-04-16 11:00:58",NULL,"0",NULL,NULL
"37c547df-c919-4d3c-9611-738290fe149d","b250d22f-f3ae-4592-ae2c-7e7429f7a5d2","7aa77b88-afc6-11ee-b485-9616de9ca6c5","new","1","0","0","0",NULL,"2024-01-23 09:25:41",NULL,NULL,NULL,NULL
"385a0535-7365-4d08-935b-4a854942289d","40589788-1a0f-4a5b-afa8-c9eedf77afa6","7aa77b88-afc6-11ee-b485-9616de9ca6c5","agendize 22","1","0","0","0","0","2024-04-02 15:28:10",NULL,"0",NULL,NULL
"3962fea2-7e0d-4549-a74f-2c66ee6c4f96","812bc5e8-7225-4f6a-a41c-f02a651b3460","77e6314c-94ea-4728-8b5f-3f20b6c3356e","MKG myA","1","0","0","0","0","2024-06-26 10:45:31",NULL,"0",NULL,NULL
"39fcb3be-e94c-4829-9b6f-ff39a5c68482","9dd23a13-2ba3-4737-af3c-e37a2be75f22","850e90c6-cf06-41e5-92ac-f7ef32f3d67e","HGO sortie","1","0","0","0","0","2024-06-14 12:39:28",NULL,"0",NULL,NULL
"3b26ce68-0416-4327-a517-fd82bb508c80","59fd2605-f867-463b-a91e-f3793d0d21f4","4115d3c9-488f-41a8-b76f-93da18d10060","Collection vide","1","0","0","0","0","2024-08-01 11:59:38",NULL,"0","0","0"
"3db64e03-4be3-4b1e-94a3-55486195d6ee","558d5422-69c9-4426-9727-327038559249","f38d5e2e-527c-46df-b171-3bc6c5ec2dd0","STATUT COLCAB","1","0","0","0","0","2024-07-10 09:56:34",NULL,"0","0",NULL
"3e23a600-9e7d-43cb-8cf0-74dd1daa0af1","bac54644-65b7-40a7-bd64-5f81bf8763e2","850e90c6-cf06-41e5-92ac-f7ef32f3d67e","SOFREGAZ","1","0","0","0","0","2024-04-17 15:39:58",NULL,"0",NULL,NULL
"40a508b2-7292-400b-a74c-0a34b517769e","edbc2b10-6daa-4430-96ab-79fc28460415","5392a00a-4d18-4306-8273-8721729c247b","Collection vide","1","0","0","0","0","2024-07-16 17:09:27",NULL,"0","0",NULL
"41321215-6f38-430d-8e2d-9bd85dc1288a","21fa1f83-d77e-4b55-aa04-3ac8ea45e069","77e6314c-94ea-4728-8b5f-3f20b6c3356e","MUSCU","1","0","0","0","0","2024-07-02 14:54:49",NULL,"0",NULL,NULL
"413e6d6f-18be-4406-966a-a0d0687507c8","403e4c78-240a-49af-a5e5-d9eac24b0c8f","77e6314c-94ea-4728-8b5f-3f20b6c3356e","Coldemail","1","0","0","0","0","2024-06-16 09:51:46",NULL,"0",NULL,NULL
"43b7803a-56f8-4b32-9456-e77d773e6593","358df2c0-9a2c-49b5-b220-a64dc706621e","850e90c6-cf06-41e5-92ac-f7ef32f3d67e","Actu RH","1","0","0","0","0","2024-05-20 13:34:29",NULL,"0",NULL,NULL
"44262dd5-d5d8-4d7c-a464-4f7e57284a8a","b501e2a8-7506-4210-a263-5e5d8cb851e3","7273cf8b-0bd5-492a-9ebb-d9918e6eeaea","Sortie contre avis","1","0","0","0","0","2024-06-25 08:55:00",NULL,"0",NULL,NULL
"4592a73c-25a1-4942-adf7-863230855024","0c0bdb3f-3dfd-4873-97be-4d96d4f654d7","850e90c6-cf06-41e5-92ac-f7ef32f3d67e","Contrats Sediver","1","0","0","0","0","2024-04-05 14:09:24",NULL,"0",NULL,NULL
"4681e390-d90a-4312-97f0-4d25523df721","0c7e27b8-8b7b-4788-bc6b-030526eae9db","7aa77b88-afc6-11ee-b485-9616de9ca6c5","huh","1","0","0","0",NULL,"2024-01-25 12:38:33",NULL,NULL,NULL,NULL
"479981fa-6174-4456-8619-5154ad42431d","ec3f7286-3224-4b20-8eca-ad0cc1af3b22","850e90c6-cf06-41e5-92ac-f7ef32f3d67e","Idéation IA","1","0","0","0","0","2024-05-15 08:38:36",NULL,"0",NULL,NULL
"48b06d84-c122-4432-b8e5-44827e4cf412","cddec1f3-bffe-4b02-aa83-b7ec25d7be5f","f6d12c1b-1456-11ef-be9a-0242c0a81005","Cas d'usage #1","1","0","0","0","0","2024-07-10 12:34:26",NULL,"0","0",NULL
