"id","collection_id","status","action","type","created_at","last_updated_at","alias","user_id"
"0efe3ec3-0e77-49d1-a70c-0e60cf98617a","eee273b4-a7c9-4366-aac8-bdf3dd3561c5","init","start","chat-with-data",NULL,NULL,"OKK",NULL
"0f10eba2-88ce-404d-a413-2065bd6f8431","41321215-6f38-430d-8e2d-9bd85dc1288a","init","start","coach-ia","2024-07-03 09:03:25","2024-07-03 09:03:25",NULL,NULL
"0f31e8d9-1969-4536-af8b-88606e50b5ad","00d3a486-e45e-4144-ab5c-dcf564168a4d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"0f54998d-c7fe-4fbd-812e-9bc838574036","d6443201-06a9-4607-930a-d87856cca443","init","start","chat-with-data","2024-07-09 14:55:37","2024-07-09 14:55:43","""Exploring Conversations""",NULL
"0fd39711-3cac-49d2-a3d9-cb7cb9ee0998","65ac3e99-14c6-4529-b27b-0b5a037a310d","init","start","chat-with-data","2024-07-23 09:07:18","2024-07-24 07:58:47","Formation pour Cadres: Questionnaire Efficacité au",NULL
"11326745-e0f4-4daf-aa49-5b4331d9fe93","980277d5-a67e-499c-ad61-c5daa614ec14","init","start","coach-ia","2024-07-23 06:53:07","2024-07-23 13:11:53","Amélioration de la Landing Page",NULL
"126f9f4b-a730-4be5-a75f-6e3f6c8caf6e","9f47a3c7-dca6-4a0a-bc67-a4c897bdfcb6","init","start","chat-with-data",NULL,"2024-07-10 12:23:31",NULL,NULL
"13625b69-48df-468c-89b8-57da36fccedd","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"13d1f23a-5ca3-406a-9b6e-792a7f374819","e26b0214-6729-425d-9d18-f69e81a2ee83","init","start","coach-ia","2024-07-17 14:10:52","2024-07-17 14:13:57","Compétences clés de Jean-François Guyomar",NULL
"146424da-9bfa-4757-85e8-50ef26ffcb8b","5587bcef-5bc4-4340-9d8a-09947f8afd64","init","start","chat-with-data","2024-07-18 13:34:44","2024-07-18 13:34:55","Éclat de lune",NULL
"14a73762-1845-47b6-8d52-4b5ea761324d","70fa8291-b57b-47f8-88cf-17c1a0d642b3","init","start","chat-with-data","2024-06-25 08:09:14","2024-06-26 09:22:31",NULL,NULL
"14d1d1ac-1473-4296-840a-a3414bc71014","eee273b4-a7c9-4366-aac8-bdf3dd3561c5","init","start","chat-with-data",NULL,NULL,NULL,NULL
"14e97dc4-1459-44be-9236-81e514863d30","51e2c035-b0c4-478a-aa3d-8ee7ab5ee015","init","start","chat-with-data",NULL,NULL,NULL,NULL
"1584862c-f6ca-4d67-87cb-a0c73eb8f342","8cda0810-4230-4305-8892-41c7d2a51f0c","init","start","chat-with-data","2024-07-11 15:28:43","2024-07-11 15:28:49","Maîtrise de la stérilité : À toi de jouer !",NULL
"15976515-49be-4efd-b7da-2b8d56d3bdb6","e7cca053-7010-4ff4-8668-604f3b826635","init","start","chat-with-data","2024-07-30 12:11:11","2024-07-30 12:14:13","Conseils pour Obsidian",NULL
"159c5357-3974-42f0-a824-541932c1b153","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"15cbef72-e75d-4975-8999-0f2e60addce6","02dd8f39-cf10-4690-a201-7358bad4f5a7","init","start","chat-with-data","2024-08-05 14:53:04","2024-08-05 14:55:27","MySQL Connection Issues in WSL",NULL
"15e0b65f-77cf-4002-9971-7d3ab86af0f1","75702be5-dcf1-4aba-ba19-154d382381c5","init","start","chat-with-data",NULL,NULL,NULL,NULL
"15e9f971-1f0e-4923-95e0-e17f57dd6356","355b2dfa-9f73-4c06-8749-c47778e8ad06","init","start","coach-ia",NULL,"2024-06-21 17:06:59",NULL,NULL
"1659e205-32e5-4909-9444-d7b692b07998","336bcd65-995a-4b7e-8a7a-a93e487fc176","init","start","chat-with-data",NULL,NULL,NULL,NULL
"169382d5-5371-4259-914c-11c820b2cf36","87c460c1-624a-4372-b161-9c26b4f6a885","init","start","chat-with-data",NULL,NULL,NULL,NULL
"16f9e421-1980-4e4f-a2a1-c1f8989ca9d4","f9bb5eb8-1de9-484a-9bd0-e5102a704184","init","start","coach-ia",NULL,NULL,NULL,NULL
"178adee4-683a-4afb-8099-398ed8a30a20","6916a882-1249-4afd-8097-13a58013accb","init","start","coach-ia",NULL,NULL,NULL,NULL
"17dd72d7-83c7-4af3-ab37-d9cf3b9c500a","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"187c6ea8-364c-424b-970b-27c41e83329c","1e3e9e0d-c8f9-4dda-b278-a7ce878e4795","init","start","coach-ia","2024-06-24 22:38:55","2024-06-24 22:49:19",NULL,NULL
"18c761b6-bbdb-4e28-bc70-92ba8658f6ce","1ef214a1-058b-4728-b40f-8682fe3ca5ff","init","start","coach-ia","2024-07-17 14:47:35","2024-07-17 15:09:32","Amélioration CV Martin Guichard",NULL
"196ec1ec-b1fd-4bca-ae62-8e00f62aec31","6af16535-bbf2-4d92-a490-b0c28f8a1b4a","init","start","coach-ia","2024-08-07 11:52:42","2024-08-07 11:52:49","Assistance Options",NULL
"19e099f4-c172-4a06-be79-e8262ae8d91e","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"1a54f204-2c27-4eb9-9c92-394b03044229","a58e1ada-7ff3-41b3-be7f-71e7872111ae","init","start","chat-with-data",NULL,"2024-08-02 10:39:24","Révolution française en vidéos",NULL
